subject,regime,channel,perplexity_real,perplexity_aaft,delta
3,rest,T5,4.040455458616367,3.988017506851087,-0.05243795176527977
3,rest,T6,3.818153274331071,3.834048806318149,0.015895531987077938
3,rest,P3,3.8337835217370895,3.832812548157748,-0.0009709735793412833
3,rest,P4,3.660895418263731,3.714464977188213,0.053569558924481786
3,rest,O1,3.573092878608925,3.615403058395724,0.04231017978679885
3,rest,O2,3.743495234490287,3.851456671465936,0.10796143697564897
3,rest,Fz,4.018349193268748,3.961342338044642,-0.05700685522410609
3,rest,Cz,3.755125077799193,3.8272815128245097,0.07215643502531677
3,rest,Pz,3.6908361402971166,3.5645743965871506,-0.126261743709966
3,arithmetic,Fp1,4.285820461435806,3.888096163587008,-0.39772429784879826
3,arithmetic,Fp2,5.714890306760009,4.423828824277225,-1.2910614824827844
3,arithmetic,F3,4.619832817605372,4.301492757350552,-0.31834006025481987
3,arithmetic,F4,4.540625553349388,4.5973793555851605,0.05675380223577253
3,arithmetic,F7,4.330419161999269,4.42165889405001,0.09123973205074076
3,arithmetic,F8,4.726811481936423,4.425941539844809,-0.3008699420916141
3,arithmetic,T3,3.748232098599125,3.596958530410331,-0.151273568188794
3,arithmetic,T4,4.368214118448505,4.474724569143596,0.10651045069509113
3,arithmetic,C3,4.768398903212636,4.199719752134414,-0.5686791510782214
3,arithmetic,C4,4.16126359289718,4.17725918399408,0.01599559109689963
3,arithmetic,T5,4.458091782504573,4.317922768945691,-0.14016901355888134
3,arithmetic,T6,4.494546225091272,4.260541189758157,-0.23400503533311579
3,arithmetic,P3,4.609164495320998,4.197035513974492,-0.41212898134650633
3,arithmetic,P4,4.957841030919874,4.201859323003332,-0.7559817079165416
3,arithmetic,O1,5.259186266099139,4.343860331889973,-0.9153259342091662
3,arithmetic,O2,5.218436792102711,4.679580492884344,-0.5388562992183674
3,arithmetic,Fz,4.439775377668925,4.479880838655845,0.04010546098692025
3,arithmetic,Cz,4.381854962629437,4.302173574808583,-0.07968138782085443
3,arithmetic,Pz,4.000082064617926,3.9568634693312776,-0.0432185952866484
4,rest,Fp1,3.706621033982671,3.744412743743175,0.037791709760504055
4,rest,Fp2,3.7314332690542975,3.448244702889112,-0.2831885661651854
4,rest,F3,3.814130045679109,3.664367757440246,-0.14976228823886295
4,rest,F4,3.95523006276188,3.897246999767608,-0.05798306299427214
4,rest,F7,3.813375109659428,3.6555061367526176,-0.15786897290681035
4,rest,F8,3.643490683617748,3.189375533050561,-0.454115150567187
4,rest,T3,3.97007899030932,3.895181441427443,-0.07489754888187683
4,rest,T4,3.963264052917959,3.72188104273836,-0.24138301017959884
4,rest,C3,4.005120635077459,3.9336272987850496,-0.07149333629240928
4,rest,C4,4.114390079692628,4.118821231217671,0.004431151525043475
4,rest,T5,4.1275723279994905,3.753580615711892,-0.3739917122875984
4,rest,T6,3.51787068213708,3.3826677427254026,-0.13520293941167738
4,rest,P3,3.926024688405849,3.834010449726951,-0.09201423867889824
